dataset,symbol,model,threshold,parameters,train_accuracy,eval_accuracy,eval_f1_macro,eval_loss,train_samples,eval_samples,train_label_counts,eval_label_counts,class_weight_mode,run_name
real,AAPL,attnlob,t1e5,176515,0.6504,0.6807,0.5810,0.7515,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],balanced,piroth2_pretrainthr_real_AAPL_attnlob_t1e5_balanced_20260508_1day_thrcls
real,AAPL,attnlob,t1e5,176515,0.7767,0.8109,0.5918,0.5564,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],none,piroth2_pretrainthr_real_AAPL_attnlob_t1e5_none_20260508_1day_thrcls
real,AAPL,attnlob,t2p5e6,176515,0.6525,0.6653,0.5311,0.8979,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],balanced,piroth2_pretrainthr_real_AAPL_attnlob_t2p5e6_balanced_20260508_1day_thrcls
real,AAPL,attnlob,t2p5e6,176515,0.7117,0.7531,0.6344,0.6701,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],none,piroth2_pretrainthr_real_AAPL_attnlob_t2p5e6_none_20260508_1day_thrcls
real,AAPL,attnlob,t5e6,176515,0.6588,0.7060,0.6252,0.7978,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],balanced,piroth2_pretrainthr_real_AAPL_attnlob_t5e6_balanced_20260508_1day_thrcls
real,AAPL,attnlob,t5e6,176515,0.7458,0.7716,0.6469,0.6384,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],none,piroth2_pretrainthr_real_AAPL_attnlob_t5e6_none_20260508_1day_thrcls
real,AAPL,convlob,t1e5,29219,0.5454,0.6152,0.3993,1.0075,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],balanced,piroth2_pretrainthr_real_AAPL_convlob_t1e5_balanced_20260508_1day_thrcls
real,AAPL,convlob,t1e5,29219,0.7363,0.7616,0.3500,0.6413,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],none,piroth2_pretrainthr_real_AAPL_convlob_t1e5_none_20260508_1day_thrcls
real,AAPL,convlob,t2p5e6,29219,0.5676,0.5957,0.4684,0.9550,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],balanced,piroth2_pretrainthr_real_AAPL_convlob_t2p5e6_balanced_20260508_1day_thrcls
real,AAPL,convlob,t2p5e6,29219,0.6293,0.6620,0.4322,0.7914,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],none,piroth2_pretrainthr_real_AAPL_convlob_t2p5e6_none_20260508_1day_thrcls
real,AAPL,convlob,t5e6,29219,0.5611,0.6229,0.4489,0.9680,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],balanced,piroth2_pretrainthr_real_AAPL_convlob_t5e6_balanced_20260508_1day_thrcls
real,AAPL,convlob,t5e6,29219,0.6744,0.6980,0.4459,0.7345,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],none,piroth2_pretrainthr_real_AAPL_convlob_t5e6_none_20260508_1day_thrcls
real,AAPL,deeplob,t1e5,135523,0.6529,0.7011,0.5937,0.7466,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],balanced,piroth2_pretrainthr_real_AAPL_deeplob_t1e5_balanced_20260508_1day_thrcls
real,AAPL,deeplob,t1e5,135523,0.8031,0.8210,0.6285,0.5244,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],none,piroth2_pretrainthr_real_AAPL_deeplob_t1e5_none_20260508_1day_thrcls
real,AAPL,deeplob,t2p5e6,135523,0.7058,0.7236,0.6653,0.7401,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],balanced,piroth2_pretrainthr_real_AAPL_deeplob_t2p5e6_balanced_20260508_1day_thrcls
real,AAPL,deeplob,t2p5e6,135523,0.7581,0.7768,0.6845,0.6193,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],none,piroth2_pretrainthr_real_AAPL_deeplob_t2p5e6_none_20260508_1day_thrcls
real,AAPL,deeplob,t5e6,135523,0.6914,0.7284,0.6559,0.7470,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],balanced,piroth2_pretrainthr_real_AAPL_deeplob_t5e6_balanced_20260508_1day_thrcls
real,AAPL,deeplob,t5e6,135523,0.7643,0.7834,0.6722,0.6090,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],none,piroth2_pretrainthr_real_AAPL_deeplob_t5e6_none_20260508_1day_thrcls
real,AAPL,fclob,t1e5,2328067,0.5201,0.4719,0.4147,0.9401,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],balanced,piroth2_pretrainthr_real_AAPL_fclob_t1e5_balanced_20260508_1day_thrcls
real,AAPL,fclob,t1e5,2328067,0.7473,0.7689,0.4422,0.6408,2365884,4088257,[316981, 1723640, 325263],[512782, 3077206, 498269],none,piroth2_pretrainthr_real_AAPL_fclob_t1e5_none_20260508_1day_thrcls
real,AAPL,fclob,t2p5e6,2328067,0.5734,0.6037,0.5226,0.9360,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],balanced,piroth2_pretrainthr_real_AAPL_fclob_t2p5e6_balanced_20260508_1day_thrcls
real,AAPL,fclob,t2p5e6,2328067,0.6513,0.6780,0.5045,0.7801,2365884,4088257,[482103, 1377628, 506153],[798188, 2521408, 768661],none,piroth2_pretrainthr_real_AAPL_fclob_t2p5e6_none_20260508_1day_thrcls
real,AAPL,fclob,t5e6,2328067,0.5565,0.5574,0.4981,0.9345,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],balanced,piroth2_pretrainthr_real_AAPL_fclob_t5e6_balanced_20260508_1day_thrcls
real,AAPL,fclob,t5e6,2328067,0.6703,0.6953,0.4812,0.7541,2365884,4088257,[439767, 1465779, 460338],[724990, 2663024, 700243],none,piroth2_pretrainthr_real_AAPL_fclob_t5e6_none_20260508_1day_thrcls
real,GOOGL,attnlob,t1e5,176515,0.5653,0.5786,0.5529,0.8450,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],balanced,piroth2_pretrainthr_real_GOOGL_attnlob_t1e5_balanced_20260508_1day_thrcls
real,GOOGL,attnlob,t1e5,176515,0.6948,0.6818,0.5256,0.7707,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],none,piroth2_pretrainthr_real_GOOGL_attnlob_t1e5_none_20260508_1day_thrcls
real,GOOGL,attnlob,t2p5e6,176515,0.6075,0.6122,0.6109,0.8671,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],balanced,piroth2_pretrainthr_real_GOOGL_attnlob_t2p5e6_balanced_20260508_1day_thrcls
real,GOOGL,attnlob,t2p5e6,176515,0.5929,0.6050,0.6051,0.8731,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],none,piroth2_pretrainthr_real_GOOGL_attnlob_t2p5e6_none_20260508_1day_thrcls
real,GOOGL,attnlob,t5e6,176515,0.5920,0.6001,0.5947,0.8799,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],balanced,piroth2_pretrainthr_real_GOOGL_attnlob_t5e6_balanced_20260508_1day_thrcls
real,GOOGL,attnlob,t5e6,176515,0.6172,0.6127,0.5849,0.8755,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],none,piroth2_pretrainthr_real_GOOGL_attnlob_t5e6_none_20260508_1day_thrcls
real,GOOGL,convlob,t1e5,29219,0.5760,0.5517,0.4054,1.0527,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],balanced,piroth2_pretrainthr_real_GOOGL_convlob_t1e5_balanced_20260508_1day_thrcls
real,GOOGL,convlob,t1e5,29219,0.6496,0.6262,0.3267,0.8843,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],none,piroth2_pretrainthr_real_GOOGL_convlob_t1e5_none_20260508_1day_thrcls
real,GOOGL,convlob,t2p5e6,29219,0.4626,0.4645,0.4426,1.0114,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],balanced,piroth2_pretrainthr_real_GOOGL_convlob_t2p5e6_balanced_20260508_1day_thrcls
real,GOOGL,convlob,t2p5e6,29219,0.4682,0.4634,0.4031,1.0100,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],none,piroth2_pretrainthr_real_GOOGL_convlob_t2p5e6_none_20260508_1day_thrcls
real,GOOGL,convlob,t5e6,29219,0.4994,0.4917,0.4325,1.0390,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],balanced,piroth2_pretrainthr_real_GOOGL_convlob_t5e6_balanced_20260508_1day_thrcls
real,GOOGL,convlob,t5e6,29219,0.5191,0.5009,0.4039,1.0052,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],none,piroth2_pretrainthr_real_GOOGL_convlob_t5e6_none_20260508_1day_thrcls
real,GOOGL,deeplob,t1e5,135523,0.5637,0.5783,0.5526,0.8438,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],balanced,piroth2_pretrainthr_real_GOOGL_deeplob_t1e5_balanced_20260508_1day_thrcls
real,GOOGL,deeplob,t1e5,135523,0.7024,0.6900,0.5568,0.7470,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],none,piroth2_pretrainthr_real_GOOGL_deeplob_t1e5_none_20260508_1day_thrcls
real,GOOGL,deeplob,t2p5e6,135523,0.6135,0.6183,0.6182,0.8528,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],balanced,piroth2_pretrainthr_real_GOOGL_deeplob_t2p5e6_balanced_20260508_1day_thrcls
real,GOOGL,deeplob,t2p5e6,135523,0.6117,0.6170,0.6172,0.8535,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],none,piroth2_pretrainthr_real_GOOGL_deeplob_t2p5e6_none_20260508_1day_thrcls
real,GOOGL,deeplob,t5e6,135523,0.6013,0.6060,0.6035,0.8562,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],balanced,piroth2_pretrainthr_real_GOOGL_deeplob_t5e6_balanced_20260508_1day_thrcls
real,GOOGL,deeplob,t5e6,135523,0.6249,0.6193,0.5989,0.8568,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],none,piroth2_pretrainthr_real_GOOGL_deeplob_t5e6_none_20260508_1day_thrcls
real,GOOGL,fclob,t1e5,2328067,0.4829,0.4647,0.4437,0.9862,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],balanced,piroth2_pretrainthr_real_GOOGL_fclob_t1e5_balanced_20260508_1day_thrcls
real,GOOGL,fclob,t1e5,2328067,0.6560,0.6373,0.3963,0.8622,3524933,5674389,[626363, 2264145, 634425],[1093733, 3494628, 1086028],none,piroth2_pretrainthr_real_GOOGL_fclob_t1e5_none_20260508_1day_thrcls
real,GOOGL,fclob,t2p5e6,2328067,0.5059,0.5176,0.5059,0.9826,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],balanced,piroth2_pretrainthr_real_GOOGL_fclob_t2p5e6_balanced_20260508_1day_thrcls
real,GOOGL,fclob,t2p5e6,2328067,0.4980,0.5114,0.5023,0.9895,3524933,5674389,[1185400, 1122639, 1216894],[1919158, 1848499, 1906732],none,piroth2_pretrainthr_real_GOOGL_fclob_t2p5e6_none_20260508_1day_thrcls
real,GOOGL,fclob,t5e6,2328067,0.5160,0.5157,0.5095,0.9844,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],balanced,piroth2_pretrainthr_real_GOOGL_fclob_t5e6_balanced_20260508_1day_thrcls
real,GOOGL,fclob,t5e6,2328067,0.5320,0.5244,0.4618,0.9902,3524933,5674389,[931679, 1638209, 955045],[1614022, 2459815, 1600552],none,piroth2_pretrainthr_real_GOOGL_fclob_t5e6_none_20260508_1day_thrcls
